filename,pid,pageTitle,mods.accessCondition#text,mods.accessCondition@type,mods.accessCondition@xlink:href,mods.identifier#text,mods.identifier@type,mods.language.languageTerm#text,mods.language.languageTerm@authority,mods.language.languageTerm@type,mods.location.physicalLocation#text,mods.location.physicalLocation.0#text,mods.location.physicalLocation.0@displayLabel,mods.location.physicalLocation.1#text,mods.location.physicalLocation.1@displayLabel,mods.location.physicalLocation.2#text,mods.location.physicalLocation.2@displayLabel,mods.location.physicalLocation.3#text,mods.location.physicalLocation.3@displayLabel,mods.location.physicalLocation.4#text,mods.location.physicalLocation.4@displayLabel,mods.location.physicalLocation@valueURI,mods.locationphysicalLocation,mods.locationshelfLocator,mods.name.0.role.roleTerm#text,mods.name.0.role.roleTerm@authority,mods.name.0.role.roleTerm@valueURI,mods.name.0namePart,mods.name.1.role.roleTerm#text,mods.name.1.role.roleTerm@authority,mods.name.1.role.roleTerm@valueURI,mods.name.1namePart,mods.name.2.role.roleTerm#text,mods.name.2.role.roleTerm@authority,mods.name.2.role.roleTerm@valueURI,mods.name.2@authority,mods.name.2@valueURI,mods.name.2namePart,mods.name.3.role.roleTerm#text,mods.name.3.role.roleTerm@authority,mods.name.3.role.roleTerm@valueURI,mods.name.3@authority,mods.name.3@valueURI,mods.name.3namePart,mods.name.4.role.roleTerm#text,mods.name.4.role.roleTerm@authority,mods.name.4.role.roleTerm@valueURI,mods.name.4namePart,mods.name.role.roleTerm#text,mods.name.role.roleTerm@authority,mods.name.role.roleTerm@valueURI,mods.name@authority,mods.name@valueURI,mods.namenamePart,mods.note#text,mods.note@displayLabel,mods.originInfo.dateCreated#text,mods.originInfo.dateCreated.0,mods.originInfo.dateCreated.0#text,mods.originInfo.dateCreated.0@encoding,mods.originInfo.dateCreated.0@point,mods.originInfo.dateCreated.1#text,mods.originInfo.dateCreated.1@encoding,mods.originInfo.dateCreated.1@keyDate,mods.originInfo.dateCreated.1@point,mods.originInfo.dateCreated.2#text,mods.originInfo.dateCreated.2@encoding,mods.originInfo.dateCreated.2@point,mods.originInfo.dateCreated@encoding,mods.originInfo.dateCreated@keyDate,mods.originInfo.dateCreated@point,mods.physicalDescription.form#text,mods.physicalDescription.form.0#text,mods.physicalDescription.form.0@authority,mods.physicalDescription.form.0@valueURI,mods.physicalDescription.form.1#text,mods.physicalDescription.form.1@authority,mods.physicalDescription.form.1@valueURI,mods.physicalDescription.form@authority,mods.physicalDescription.form@valueURI,mods.physicalDescriptionextent,mods.recordInfo.languageOfCataloging.languageTerm#text,mods.recordInfo.languageOfCataloging.languageTerm@authority,mods.recordInfo.languageOfCataloging.languageTerm@type,mods.recordInfo.recordContentSource#text,mods.recordInfo.recordContentSource@valueURI,mods.relatedItem.0.titleInfotitle,mods.relatedItem.0@displayLabel,mods.relatedItem.0@type,mods.relatedItem.1.titleInfotitle,mods.relatedItem.1@displayLabel,mods.relatedItem.1@type,mods.relatedItem.locationurl,mods.relatedItem.titleInfotitle,mods.relatedItem@displayLabel,mods.relatedItem@type,mods.subject.0.namenamePart,mods.subject.0@authority,mods.subject.0@valueURI,mods.subject.0topic,mods.subject.1@authority,mods.subject.1@valueURI,mods.subject.1topic,mods.subject.2.namenamePart,mods.subject.2@authority,mods.subject.2@valueURI,mods.subject.2topic,mods.subject.3.namenamePart,mods.subject.3@authority,mods.subject.3@valueURI,mods.subject.3geographic,mods.subject.3topic,mods.subject.4.namenamePart,mods.subject.4@authority,mods.subject.4@valueURI,mods.subject.4geographic,mods.subject.4temporal,mods.subject.4topic,mods.subject.5.namenamePart,mods.subject.5@authority,mods.subject.5@valueURI,mods.subject.5geographic,mods.subject.5topic,mods.subject.6.namenamePart,mods.subject.6@authority,mods.subject.6@valueURI,mods.titleInfotitle,mods.typeOfResource#text,mods.typeOfResource@collection,modsabstract,modstypeOfResource
arrowmont:538.xml,arrowmont:538,Rosemary Moorehead Scrapbook: page 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:510.xml,arrowmont:510,"Evelyn Bishop Scrapbook: page 17, image 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:53.xml,arrowmont:53,"Gatlinburg From All Sides: page 48, image 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:276.xml,arrowmont:276,Evelyn Bishop Scrapbook: page 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:47.xml,arrowmont:47,Gatlinburg From All Sides: page 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:262.xml,arrowmont:262,Evelyn Bishop Scrapbook: page 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:504.xml,arrowmont:504,Evelyn Bishop Scrapbook: page 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:289.xml,arrowmont:289,Evelyn Bishop Scrapbook: page 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowmont:90.xml,arrowmont:90,"Gatlinburg From All Sides: page 39, image 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
