filename|mods.accessCondition#text|mods.accessCondition@type|mods.accessCondition@xlink:href|mods.identifier#text|mods.identifier@type|mods.note#text|mods.note@displayLabel|mods.recordInfo.recordContentSource#text|mods.recordInfo.recordContentSource@valueURI|mods.subject.0topic|mods.subject.10topic|mods.subject.11topic|mods.subject.12topic|mods.subject.13topic|mods.subject.14topic|mods.subject.15topic|mods.subject.16topic|mods.subject.17topic|mods.subject.1topic|mods.subject.2topic|mods.subject.3topic|mods.subject.4topic|mods.subject.5topic|mods.subject.6topic|mods.subject.7topic|mods.subject.8topic|mods.subject.9topic|mods.subjecttopic|mods.titleInfotitle|mods@version|mods@xmlns|mods@xmlns:mods|mods@xmlns:xlink|mods@xmlns:xsi|mods@xsi:schemaLocation|modsabstract|modstypeOfResource
arrpgimg_403.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0005_0034_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|Homes|    |    |    |    |    |    |    |    |Cabins|People|Campbell, Sophie|Burton, Emily|    |    |    |    |    |    |The Camel Campbell House|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The two women are Sophie Campbell (left), and teacher Emily Burton (right).|still image
arrpgimg_59.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0031_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Gardens|Government Garden Seeds.|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_365.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0005_0020_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|Homes|    |    |    |    |    |    |    |    |Cottages|Crops|    |    |    |    |    |    |    |    |Near the Glades, corn fields|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_371.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0005_0022_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|People|    |    |    |    |    |    |    |    |Children|Students|Six-Room Schoolhouse, Gatlinburg|    |    |    |    |    |    |    |Primary and Intermediate Grades|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The students are standing in front of the six-room schoolhouse (ca. 1914).|still image
arrpgimg_417.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0005_0039_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|People|    |    |    |    |    |    |    |    |Children|Students|Livestock|Whaley, Pearl|Whaley, Roy|    |    |    |    |    |Pearl and Roy Whaley, Stella Huff's prize Biddies|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|This photo was taken at the first annual Gatlinburg Fair.  The building in the background is the six-room schoolhouse (ca. 1914).|still image
arrpgimg_65.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0033_0003|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Mr. Huff's Mountain View Hotel - extreme right|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_359.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0005_0018_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|Students|    |    |    |    |    |    |    |    |Children|People|Six-Room Schoolhouse, Gatlinburg|Clabo, Katie|    |    |    |    |    |    |Katie Clabo and the School House|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Six-room School House ca. 1914.  The photographer was facing east and slightly south.|still image
arrpgimg_71.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0036_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Stewart Cottage|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_198.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0089_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |School Children|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_167.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0071_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Footbridge on Roaring Fork|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_173.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0074_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Little Pigeon River|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_211.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0002_0006_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|Landscape|    |    |    |    |    |    |    |    |Settlement schools|    |    |    |    |    |    |    |    |    |Copper Pi Beta Phi sign at entrance|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Copper Pi Beta Phi sign at entrance|still image
arrpgimg_205.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0092_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |School Children|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_239.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0002_0018_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|School buildings|    |    |    |    |    |    |    |    |Weaving|    |    |    |    |    |    |    |    |    |Weaving building|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Weaving building Now has planting of shrubs.|still image
arrpgimg_238.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0002_0017_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|School buildings|    |    |    |    |    |    |    |    |Weaving|    |    |    |    |    |    |    |    |    |Weaving building|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_204.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0091_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Infant in rocking chair|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
arrpgimg_210.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0002_0005_0002|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|Roads|    |    |    |    |    |    |    |    |Landscape|Pi Phi Lane|    |    |    |    |    |    |    |    |Up Pi Phi Lane|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Up Pi Phi Lane in winter|still image
arrpgimg_172.xml|Copyright Not                 Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|arrs0003_0074_0001|filename|Arrowmont Simple Images from Scrapbooks|Project Part|University of Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Little Pigeon River Valley|3.5|http://www.loc.gov/mods/v3|    |http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3             http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
