filename|mods.accessCondition#text|mods.accessCondition@type|mods.accessCondition@xlink:href|mods.identifier#text|mods.identifier@type|mods.language.languageTerm#text|mods.language.languageTerm@authority|mods.language.languageTerm@type|mods.location.physicalLocation.0#text|mods.location.physicalLocation.0@displayLabel|mods.location.physicalLocation.1#text|mods.location.physicalLocation.1@displayLabel|mods.location.physicalLocation.2#text|mods.location.physicalLocation.2@displayLabel|mods.location.physicalLocation.3#text|mods.location.physicalLocation.3@displayLabel|mods.location.physicalLocation.4#text|mods.location.physicalLocation.4@displayLabel|mods.name.0.role.roleTerm#text|mods.name.0.role.roleTerm@authority|mods.name.0.role.roleTerm@valueURI|mods.name.0namePart|mods.name.1.role.roleTerm#text|mods.name.1.role.roleTerm@authority|mods.name.1.role.roleTerm@valueURI|mods.name.1namePart|mods.name.2.role.roleTerm#text|mods.name.2.role.roleTerm@authority|mods.name.2.role.roleTerm@valueURI|mods.name.2namePart|mods.name.role.roleTerm#text|mods.name.role.roleTerm@authority|mods.name.role.roleTerm@valueURI|mods.namenamePart|mods.note#text|mods.note.0#text|mods.note.0@displayLabel|mods.note.1#text|mods.note.1@displayLabel|mods.note@displayLabel|mods.originInfo.dateIssued#text|mods.originInfo.dateIssued@encoding|mods.originInfo.dateIssued@keyDate|mods.originInfo.dateIssued@qualifier|mods.originInfopublisher|mods.physicalDescriptionextent|mods.recordInfo.languageOfCataloging.languageTerm#text|mods.recordInfo.languageOfCataloging.languageTerm@authority|mods.recordInfo.languageOfCataloging.languageTerm@type|mods.recordInfo.recordContentSource#text|mods.recordInfo.recordContentSource@valueURI|mods.relatedItem.0.part.extent@unit|mods.relatedItem.0.part.extentlist|mods.relatedItem.0.titleInfopartNumber|mods.relatedItem.0.titleInfotitle|mods.relatedItem.0@displayLabel|mods.relatedItem.0@type|mods.relatedItem.1.titleInfotitle|mods.relatedItem.1@displayLabel|mods.relatedItem.1@type|mods.subject.0@authority|mods.subject.0temporal|mods.subject.1@authority|mods.subject.1topic|mods.subject.2@authority|mods.subject.2topic|mods.subject.3@authority|mods.subject.3topic|mods.subject.4@authority|mods.subject.4topic|mods.tableOfContents#text|mods.tableOfContents@displayLabel|mods.titleInfotitle|mods@version|mods@xmlns|mods@xmlns:xlink|mods@xmlns:xsi|mods@xsi:schemaLocation|modsgenre|modstypeOfResource
arrow_65.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr3940647_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 37, Folder 2|Detailed Location|St. Louis|City|Missouri|State|    |    |    |    |    |    |    |    |    |    |    |    |Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Helen HarringtonCompton|Arrow Articles|    |    |    |    |Project Part|1923-06|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 646-648|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 646-648|Volume 39, Number 4|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Founding of Pi Beta Phi Settlement School, Gatlinburg, Tennessee, 1909-1927.|local|Programs.|local|Promotion.|    |    |    |    |    |    |Living Motion Pictures|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Play|text
arrow_71.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr4040809_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 37, Folder 4|Detailed Location|St. Louis|City|Missouri|State|    |    |    |    |    |    |    |    |    |    |    |    |Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|D. C. Denton|Arrow Articles|    |    |    |    |Project Part|1924-06|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 808-810|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 808-810|Volume 40, Number 4|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Founding of Pi Beta Phi Settlement School, Gatlinburg, Tennessee, 1909-1927.|local|Sports.|    |    |    |    |    |    |Athletics at Gatlinburg|Table Of Contents|News From Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_59.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr3840711_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 36, Folder 15|Detailed Location|St. Louis|City|Missouri|State|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Sarah PomeroyRugg|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Anna W.Dowell|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|PhyllisHiginbotham|    |    |    |    |Arrow Articles|    |    |    |    |Project Part|1922-06|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 711-723|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 711-723|Volume 38, Number 4|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Founding of Pi Beta Phi Settlement School, Gatlinburg, Tennessee, 1909-1927.|local|Nurses.|local|Living conditions.|local|Agriculture.|local|Health care.|Gatlinburg, 1922; Jennie Nicol; Nurse Higinbotham; The Jennie Nicol Memorial|Table Of Contents|News from Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_152.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr5740441_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 39, Folder 9|Detailed Location|St. Louis|City|Missouri|State|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Jeffries Green Pace|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Marie Bacon Hagee|    |    |    |    |    |    |    |    |Arrow Articles|    |    |    |    |Project Part|1941-05|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 440-441|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 440-441|Volume 57, Number 4|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Expansion and Growth of Pi Beta Phi Settlement School, Gatlinburg, Tennessee, 1928-1943.|local|Arrowcraft.|local|Tourism.|local|Funding.|local|Government.|A Message from the Settlement School Committee|Table Of Contents|News from Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_146.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr5630193_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 39, Folder 8|Detailed Location|St. Louis|City|Missouri|State|    |    |    |    |    |    |    |    |    |    |    |    |Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Jeffries Green Pace|    |Cuttings from fall issues of the Gatlinburg News.|Additional Information|Arrow Articles|Project Part|    |1940-02|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 192-195|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 192-195|Volume 56, Number 3|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Expansion and Growth of Pi Beta Phi Settlement School, Gatlinburg, Tennessee, 1928-1943.|local|Curriculum.|local|Weaving.|local|Gardening.|local|Homes.|The Purloined Letter|Table Of Contents|News from Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_191.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr6720163_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 40, Folder 3|Detailed Location|St. Louis|City|Missouri|State|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|RuthDyer|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Harriet GoodsellRauch|    |    |    |    |    |    |    |    |Arrow Articles|    |    |    |    |Project Part|1950-12|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 163-165|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 163-165|Volume 67, Number 2|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Changing Mission of Pi Beta Phi Fraternity for Women in Gatlinburg, Tennessee, 1944-1964.|local|Summer crafts workshop.|local|Home economics.|    |    |    |    |Summer Workshop, 1950|Table Of Contents|News from Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_185.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr6540381_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 40, Folder 1|Detailed Location|St. Louis|City|Missouri|State|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Arrow Articles|    |    |    |    |Project Part|1949-05|w3cdtf|yes|    |Pi Beta Phi Fraternity|Pages 380; 384-386|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 380; 384-386|Volume 65, Number 4|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Changing Mission of Pi Beta Phi Fraternity for Women in Gatlinburg, Tennessee, 1944-1964.|local|Summer crafts workshop.|local|Arrowcraft.|    |    |    |    |    |    |Summer Workshop 1948|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_218.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr7510053_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 40, Folder 11|Detailed Location|St. Louis|City|Missouri|State|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Virginia BrackettGreen|Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Marion W. Mueller|    |    |    |    |    |    |    |    |Arrow Articles|    |    |    |    |Project Part|Fall 1958|    |yes|approximate|Pi Beta Phi Fraternity|Pages 53-61|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 53-61|Volume 75, Number 1|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Changing Mission of Pi Beta Phi Fraternity for Women in Gatlinburg, Tennessee, 1944-1964.|local|Funding.|local|Education.|local|Healthcare.|local|Arrowcraft.|Chairman of Settlement School Committee; Settlement School Director|Table Of Contents|Committee Reports|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Report|text
arrow_224.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr7620111_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 40, Folder 12|Detailed Location|St. Louis|City|Missouri|State|    |    |    |    |    |    |    |    |    |    |    |    |Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Lois SnyderFinger|Arrow Articles|    |    |    |    |Project Part|Winter 1959|    |yes|approximate|Pi Beta Phi Fraternity|Pages 110-113|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 110-113|Volume 76, Number 2|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Changing Mission of Pi Beta Phi Fraternity for Women in Gatlinburg, Tennessee, 1944-1964.|local|Facilities.|local|Dormitories.|local|Arrowcraft.|local|Employment.|The Red Barn - Before And After|Table Of Contents|News From Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
arrow_230.xml|Copyright Not             Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/ |TU:DLC:Filename:arr7740015_0000|local|eng|iso639-2b|code|Archives Collection|Collection|Pi Beta Phi Fraternity|Repository|Box 40, Folder 13|Detailed Location|St. Louis|City|Missouri|State|    |    |    |    |    |    |    |    |    |    |    |    |Author|marcrelator|http://id.loc.gov/vocabulary/relators/aut|Helen BoucherDix|Arrow Articles|    |    |    |    |Project Part|Summer 1961|    |yes|approximate|Pi Beta Phi Fraternity|Pages 14-16|eng|iso639-2b|code|University of             Tennessee, Knoxville. Libraries|http://id.loc.gov/authorities/names/n87808088|pages|Pages 14-16|Volume 77, Number 4|The Arrow of Pi Beta Phi|Bibliographic Citation|host|From Pi Beta Phi to Arrowmont|Project|host|local|Changing Mission of Pi Beta Phi Fraternity for Women in Gatlinburg, Tennessee, 1944-1964.|local|Weavers.|local|Extracurricular activites.|local|Healthcare.|local|Tourism.|Highlights of the Year; Arrowcraft Weavers from Generation to Generation|Table Of Contents|News from Little Pigeon|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|News|text
